"plotid"	"plothalfid1"	"inv"	"year"	"ammonifd_B"	"ammonifd_F"	"ammonifd_T"	"minzd_B"	"minzd_F"	"minzd_T"	"nhi_B"	"nhi_F"	"nhi_T"	"nitrifd_B"	"nitrifd_F"	"nitrifd_T"	"noi_B"	"noi_F"	"noi_T"	"soilmoi_B"	"soilmoi_F"	"soilmoi_T"	"som_B"	"som_F"	"som_T"	"toti_B"	"toti_F"	"toti_T"	"mv"	"nat"	"litter"	"percpar"	"soiltemp"	"total"	"soilBasin"	"nTrees"	"BA_total"	"PercBA_ECM"
"69"	12	"I_12"	"I"	2013	-0.0457	NA	-0.0651	0.0165	NA	0.1339	1.0401	NA	2.8633	0.0621	NA	0.199	0.3454	NA	1.1801	12.7441	NA	22.4324	2.1155	NA	10.1626	1.3855	NA	4.0434	58.57	9.66	68.81	7.38	NA	68.23	0	0	0	NA
"70"	12	"N_12"	"N"	2011	NA	-0.0026	NA	NA	0.0083	NA	NA	1.9394	NA	NA	0.0109	NA	NA	7.7886	NA	NA	13.3903	NA	NA	4.9342	NA	NA	9.728	NA	0	18.73	175.09	90.78	9.6	18.73	0	0	0	NA
"71"	12	"N_12"	"N"	2012	0.1015	NA	-0.1913	0.1808	NA	-0.2131	4.5662	NA	6.247	0.0793	NA	-0.0218	3.5122	NA	5.1806	16.7785	NA	13.308	10.0806	NA	14.4737	8.0785	NA	11.4276	0	25.57	63.83	86.29	NA	25.57	0	0	0	NA
"72"	12	"N_12"	"N"	2013	-0.2523	NA	-0.3389	0.1532	NA	0.2032	3.7407	NA	6.2573	0.4055	NA	0.5421	1.3799	NA	3.8183	10.5306	NA	15.7982	1.6423	NA	4.666	5.1206	NA	10.0755	0	45.94	74.24	58.48	NA	45.94	0	0	0	NA
"73"	13	"I_13"	"I"	2011	NA	2e-04	NA	NA	0.0061	NA	NA	0.6223	NA	NA	NA	NA	NA	1e-04	NA	NA	24.1379	NA	NA	6.8182	NA	NA	0.6223	NA	2.03	2.18	152.04	15.93	11.5	4.21	0	6	0.2008801872	0
"74"	13	"I_13"	"I"	2012	-0.0255	NA	-0.0874	-0.0566	NA	-0.0543	3.0433	NA	2.9705	-0.0311	NA	0.0331	1.8639	NA	2.5348	15.3846	NA	22.1675	5.303	NA	9.4937	4.9071	NA	5.5053	1.59	2.04	172.45	8.36	NA	3.63	0	6	0.2008801872	0
"75"	13	"I_13"	"I"	2013	-0.0783	NA	-0.0499	-0.0609	NA	-0.0421	3.7943	NA	3.598	0.0174	NA	0.0078	1.5205	NA	2.8925	19.3955	NA	38.6811	3.2812	NA	11.2131	5.3148	NA	6.4906	0.06	4.93	105.9	3.94	NA	4.99	0	6	0.2008801872	0
"76"	13	"N_13"	"N"	2011	NA	0.0021	NA	NA	0.0056	NA	NA	0.7857	NA	NA	0.0035	NA	NA	1.186	NA	NA	17.77	NA	NA	7.2034	NA	NA	1.9717	NA	0	3.01	271.55	7.98	12.3	3.01	0	6	0.2008801872	0
"77"	13	"N_13"	"N"	2012	-0.0286	NA	-0.0095	-0.0341	NA	0.0301	2.7087	NA	2.3024	-0.0056	NA	0.0396	1.6646	NA	2.1907	14.0562	NA	16.5992	4.2056	NA	5.3398	4.3733	NA	4.4931	0	6.04	225.09	5.89	NA	6.04	0	6	0.2008801872	0
"78"	13	"N_13"	"N"	2013	0.0073	NA	-0.1798	-0.0071	NA	-0.1418	5.6123	NA	3.1204	-0.0144	NA	0.0379	1.466	NA	1.3902	14.6814	NA	19.7492	2.7417	NA	5.0781	7.0783	NA	4.5105	0	5.84	148.07	3.09	NA	5.84	0	6	0.2008801872	0
