"plotid"	"plothalfid1"	"inv"	"year"	"variable"	"value"	"note"	"varType"	"measLevel"
"2077"	5	"I_5"	"I"	2011	"som_F"	3.1818	NA	"measCat"	"plothalf"
"2080"	5	"N_5"	"N"	2011	"som_F"	4.6025	NA	"measCat"	"plothalf"
"2083"	6	"I_6"	"I"	2011	"som_F"	2.2556	NA	"measCat"	"plothalf"
"2086"	6	"N_6"	"N"	2011	"som_F"	2.8902	NA	"measCat"	"plothalf"
"2089"	7	"I_7"	"I"	2011	"som_F"	7.4468	NA	"measCat"	"plothalf"
"2092"	7	"N_7"	"N"	2011	"som_F"	8.4337	NA	"measCat"	"plothalf"
"2095"	8	"I_8"	"I"	2011	"som_F"	3.0303	NA	"measCat"	"plothalf"
"2098"	8	"N_8"	"N"	2011	"som_F"	5.6225	NA	"measCat"	"plothalf"
"2101"	9	"I_9"	"I"	2011	"som_F"	4.5977	NA	"measCat"	"plothalf"
"2104"	9	"N_9"	"N"	2011	"som_F"	3.5714	NA	"measCat"	"plothalf"
"2107"	10	"I_10"	"I"	2011	"som_F"	7.037	NA	"measCat"	"plothalf"
"2110"	10	"N_10"	"N"	2011	"som_F"	6.4516	NA	"measCat"	"plothalf"
"2113"	11	"I_11"	"I"	2011	"som_F"	6.2827	NA	"measCat"	"plothalf"
"2116"	11	"N_11"	"N"	2011	"som_F"	6.6929	NA	"measCat"	"plothalf"
"2119"	12	"I_12"	"I"	2011	"som_F"	5.1136	NA	"measCat"	"plothalf"
"2122"	12	"N_12"	"N"	2011	"som_F"	4.9342	NA	"measCat"	"plothalf"
"2125"	13	"I_13"	"I"	2011	"som_F"	6.8182	NA	"measCat"	"plothalf"
"2128"	13	"N_13"	"N"	2011	"som_F"	7.2034	NA	"measCat"	"plothalf"
"2131"	14	"I_14"	"I"	2011	"som_F"	5.2239	NA	"measCat"	"plothalf"
"2134"	14	"N_14"	"N"	2011	"som_F"	5.9406	NA	"measCat"	"plothalf"
"2137"	15	"I_15"	"I"	2011	"som_F"	5.1195	NA	"measCat"	"plothalf"
"2140"	15	"N_15"	"N"	2011	"som_F"	5.8559	NA	"measCat"	"plothalf"
"2143"	16	"I_16"	"I"	2011	"som_F"	4.9774	NA	"measCat"	"plothalf"
"2146"	16	"N_16"	"N"	2011	"som_F"	4.2169	NA	"measCat"	"plothalf"
"2149"	17	"I_17"	"I"	2011	"som_F"	3.5831	NA	"measCat"	"plothalf"
"2152"	17	"N_17"	"N"	2011	"som_F"	3.3755	NA	"measCat"	"plothalf"
"2155"	18	"I_18"	"I"	2011	"som_F"	3.3333	NA	"measCat"	"plothalf"
"2158"	18	"N_18"	"N"	2011	"som_F"	2.439	NA	"measCat"	"plothalf"
"2377"	1	"I_1"	"I"	2011	"toti_F"	2.1106	NA	"measCat"	"plothalf"
"2380"	1	"N_1"	"N"	2011	"toti_F"	3.9221	NA	"measCat"	"plothalf"
"2383"	2	"I_2"	"I"	2011	"toti_F"	3.4573	NA	"measCat"	"plothalf"
"2386"	2	"N_2"	"N"	2011	"toti_F"	2.589	NA	"measCat"	"plothalf"
"2389"	3	"I_3"	"I"	2011	"toti_F"	3.0376	NA	"measCat"	"plothalf"
"2392"	3	"N_3"	"N"	2011	"toti_F"	3.6288	NA	"measCat"	"plothalf"
"2395"	4	"I_4"	"I"	2011	"toti_F"	3.1779	NA	"measCat"	"plothalf"
"2398"	4	"N_4"	"N"	2011	"toti_F"	4.3741	NA	"measCat"	"plothalf"
"2401"	5	"I_5"	"I"	2011	"toti_F"	2.9516	NA	"measCat"	"plothalf"
"2404"	5	"N_5"	"N"	2011	"toti_F"	3.8348	NA	"measCat"	"plothalf"
"2407"	6	"I_6"	"I"	2011	"toti_F"	1.7023	NA	"measCat"	"plothalf"
"2410"	6	"N_6"	"N"	2011	"toti_F"	0.9177	NA	"measCat"	"plothalf"
"2413"	7	"I_7"	"I"	2011	"toti_F"	4.1967	NA	"measCat"	"plothalf"
"2416"	7	"N_7"	"N"	2011	"toti_F"	3.4876	NA	"measCat"	"plothalf"
"2419"	8	"I_8"	"I"	2011	"toti_F"	2.7033	NA	"measCat"	"plothalf"
"2422"	8	"N_8"	"N"	2011	"toti_F"	4.1923	NA	"measCat"	"plothalf"
"2425"	9	"I_9"	"I"	2011	"toti_F"	1.5807	NA	"measCat"	"plothalf"
"2428"	9	"N_9"	"N"	2011	"toti_F"	1.9301	NA	"measCat"	"plothalf"
"2431"	10	"I_10"	"I"	2011	"toti_F"	4.3557	NA	"measCat"	"plothalf"
"2434"	10	"N_10"	"N"	2011	"toti_F"	4.0743	NA	"measCat"	"plothalf"
