"year"	"plothalfid"	"plotid"	"site"	"rep"	"inv"	"mv"	"nat"	"litter"	"percpar"	"soiltemp"	"plotname"	"plothalfname"	"yrplotname"	"yrplothalfname"	"total"
"2013"	"27"	"14"	"G13"	"B"	"I"	8.68	2.42	30.6	1.38	NA	"G13_B"	"G13_B_I"	"2013_G13_B"	"2013_G13_B_I"	11.1
"2013"	"28"	"14"	"G13"	"B"	"N"	0	2.99	110.92	2.36	NA	"G13_B"	"G13_B_N"	"2013_G13_B"	"2013_G13_B_N"	2.99
"2013"	"29"	"15"	"G13"	"C"	"I"	29.13	52.42	134.81	64.95	NA	"G13_C"	"G13_C_I"	"2013_G13_C"	"2013_G13_C_I"	81.55
"2013"	"30"	"15"	"G13"	"C"	"N"	3.06	43.61	77.17	47.32	NA	"G13_C"	"G13_C_N"	"2013_G13_C"	"2013_G13_C_N"	46.67
"2013"	"31"	"16"	"G13"	"D"	"I"	9.6	2.37	35.14	0.98	NA	"G13_D"	"G13_D_I"	"2013_G13_D"	"2013_G13_D_I"	11.97
"2013"	"32"	"16"	"G13"	"D"	"N"	0	0.83	98.33	1.47	NA	"G13_D"	"G13_D_N"	"2013_G13_D"	"2013_G13_D_N"	0.83
"2013"	"33"	"17"	"K7"	"A"	"I"	9.19	7.45	55.67	8.76	NA	"K7_A"	"K7_A_I"	"2013_K7_A"	"2013_K7_A_I"	16.64
"2013"	"34"	"17"	"K7"	"A"	"N"	0	5.94	121.94	7.26	NA	"K7_A"	"K7_A_N"	"2013_K7_A"	"2013_K7_A_N"	5.94
"2013"	"35"	"18"	"K7"	"B"	"I"	0.4	0.24	86.47	3.88	NA	"K7_B"	"K7_B_I"	"2013_K7_B"	"2013_K7_B_I"	0.64
"2013"	"36"	"18"	"K7"	"B"	"N"	0	1.4	230.17	4.48	NA	"K7_B"	"K7_B_N"	"2013_K7_B"	"2013_K7_B_N"	1.4
