"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"variable"	"value"
"2011"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"nat"	3.28
"2011"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"nat"	28.04
"2011"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"nat"	0.53
"2011"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"nat"	0.08
"2011"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"nat"	0.42
"2011"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"nat"	0.74
"2011"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"nat"	6.24
"2011"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"nat"	0.14
"2013"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"litter"	28.78
"2013"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"litter"	89.35
"2013"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"litter"	63.8
"2013"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"litter"	171.01
"2013"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"litter"	52.78
"2013"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"litter"	108.11
"2013"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"litter"	79.4
"2013"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"litter"	83.48
"2013"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"litter"	150.64
"2013"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"litter"	251.03
"2013"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"litter"	111.12
"2013"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"litter"	152.26
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"litter"	0.47
"2013"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"litter"	3.54
"2013"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"litter"	123.47
"2013"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"litter"	163.11
"2013"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"litter"	60.12
"2013"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"litter"	66.38
"2013"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"litter"	35.73
"2013"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"litter"	88.39
"2013"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"litter"	84.45
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"litter"	46.39
"2013"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"litter"	68.81
"2013"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"litter"	74.24
"2013"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"litter"	105.9
"2013"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"litter"	148.07
"2013"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"litter"	30.6
"2013"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"litter"	110.92
"2013"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"litter"	134.81
"2013"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"litter"	77.17
"2013"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"litter"	35.14
"2013"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"litter"	98.33
"2013"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"litter"	55.67
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"litter"	121.94
"2013"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"litter"	86.47
"2013"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"litter"	230.17
"2012"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"litter"	111.26
"2012"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"litter"	108.86
"2012"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"litter"	166.34
"2012"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"litter"	245.38
